run,lr,seed,epoch,basis,test_acc,test_nll,test_margin,k
final_lr005_seed0,0.05,0,0,self,0.128921568627451,2.270901975474343,-0.24784276068635053,1
final_lr005_seed0,0.05,0,0,self,0.17794117647058824,2.1702538142213723,-0.4146195219078205,2
final_lr005_seed0,0.05,0,0,self,0.2426470588235294,2.042228086207756,-0.4598607466573048,4
final_lr005_seed0,0.05,0,0,self,0.3034313725490196,1.9367805610537066,-0.503517675636899,8
final_lr005_seed0,0.05,0,0,self,0.3318627450980392,1.8793661247602813,-0.4916415281251041,16
final_lr005_seed0,0.05,0,0,self,0.36127450980392156,1.79204751577106,-0.4579622126871693,32
final_lr005_seed0,0.05,0,0,self,0.353921568627451,1.777553647040568,-0.4561196014645173,39
final_lr005_seed0,0.05,0,0,self,0.36764705882352944,1.7528749649164468,-0.4431340976701556,52
final_lr005_seed0,0.05,0,0,self,0.367156862745098,1.7424896546842668,-0.44135185034226854,64
final_lr005_seed0,0.05,0,0,self,0.3799019607843137,1.703742293608715,-0.44498987146922997,128
final_lr005_seed0,0.05,0,0,self,0.40441176470588236,1.685037896496052,-0.435654194409184,256
final_lr005_seed0,0.05,0,0,self,0.3735294117647059,1.874416913079205,-0.6833811438425689,512
final_lr005_seed0,0.05,0,0,final,0.1142156862745098,2.2893190220806097,-0.16754978185193392,1
final_lr005_seed0,0.05,0,0,final,0.15637254901960784,2.2181458584806646,-0.34919215961867633,2
final_lr005_seed0,0.05,0,0,final,0.21176470588235294,2.166726483632763,-0.43490699965979973,4
final_lr005_seed0,0.05,0,0,final,0.2426470588235294,2.0976881484862973,-0.49281176410011135,8
final_lr005_seed0,0.05,0,0,final,0.28431372549019607,2.0045278683265035,-0.48183061192694265,16
final_lr005_seed0,0.05,0,0,final,0.3142156862745098,1.9233479997869372,-0.4888517409431045,32
final_lr005_seed0,0.05,0,0,final,0.31470588235294117,1.90428408144075,-0.49724898045933863,39
final_lr005_seed0,0.05,0,0,final,0.3269607843137255,1.8678409729015677,-0.49296110224958456,52
